CNJT,GDPGAS000001,123456                                            ,6222620780003804748             ,15,123456                           
CNJT,GDPGAS000002,123457                                            ,6222620780003804749             ,15,123457                           
CNJT,GDPGAS000003,123458                                            ,6222620780003804750             ,15,123458                           
CNJT,GDPGAS000004,123459                                            ,6222620780003804751             ,15,123459                           
CNJT,GDPGAS000005,123460                                            ,6222620780003804752             ,15,123460                           
CNJT,GDPGAS000006,123461                                            ,6222620780003804753             ,15,123461                           
CNJT,GDPGAS000007,123462                                            ,6222620780003804754             ,15,123462                           
CNJT,GDPGAS000008,123463                                            ,6222620780003804755             ,15,123463                           
CNJT,GDPGAS000009,123464                                            ,6222620780003804756             ,15,123464                           
CNJT,GDPGAS000010,123465                                            ,6222620780003804757             ,15,123465                           
